target,prediction,wer,cer
здесь вс# правда каждое слово ваша вера не солжет вам,здесь вс# правда каждое слово ваша вера не солжет вам,0.0,0.0
иногда на окно приходил к ним погреться на солнце между двумя бутылями наливки кот серко,иногда на окно приходил к ним погреться на солнце между двумя бутылями наливки кот серко,0.0,0.0
райский и вера с недоумением поглядели друг на друга черт знает,райский и вера с недоумением поглядели друг на друга черт знает,0.0,0.0
сознание еще не воротилось к нему,сознание еще не воротилось к нему,0.0,0.0
вдруг сказал он подходя к ней,вдруг сказал он подходя к ней,0.0,0.0
козлов в свою очередь отвел райского в сторону,козлов в свою очередь отвел райского в сторону,0.0,0.0
еще не получили ли чего нибудь кажется савелий посылку с почты привез спросила она,еще не получили ли чего нибудь кажется савелий посылку с почты привез спросила она,0.0,0.0
вчера в клубе около меня по немецки болтают а мне кажется грызут грецкие орехи а вс# же поеду о женщины это тоже дон жуан,вчера в клубе около меня по немецки болтают а мне кажется грызут грецкие орехи а вс# же поеду о женщины это тото же жены это тот ают это то же по не,45.83,25.619999999999997
пирога скушайте полина карповна я вам положу сказала она,пирога скушайте полина карповна я вам положу сказала она,0.0,0.0
ну начал приседать растерял палку калоши потом сел наземь и попросил извинения,ну начал приседать растерял палку калоши потом сел наземь и попросил извинения,0.0,0.0
она наклонив голову стояла у подъема на обрыв как убитая,она наклонив голову стояла у подъема на обрыв как убитая,0.0,0.0
а потом он в деревню уехал ты его и не видал,а потом он в деревню уехал ты его и не видал,0.0,0.0
пусть драпировка продолжала вера но ведь и она по вашему же учению дана природой а вы хотите ее снять,пусть драпировка продолжала вера но ведь и она по вашему же учению дана природой а вы хотите ее снять,0.0,0.0
говорил он принимаясь и за индейку сыт ли дружок спрашивала она доволен ли еще бы чего же еще разве пирога,говорил он принимаясь и за индейку сыт ли дружок спрашивала она доволен ли еще разве пирнимаясь и за индейку сыд лику сы дружок спрашивала она дейку сы да,70.0,60.38
статуи как будто советовались друг с другом наклоняли головы шептались,статуи как будто советовались друг с другом наклоняли головы шептались,0.0,0.0
вера проповедует своеобразие понятий а сама не следует им открыто она скрывается обманывает его бабушку весь дом весь город целый мир нет это не его женщина,вера проповедует своеобразие понятий а сама не следует им открыто она скрывается обманывает его бабушку весь дом весь город целый мир нет это не его женщина,0.0,0.0
там эти войны греческие римские что то про фридриха великого вс# это у меня путалось,там эти войны греческие римские что то про фридриха великого вс# это у меня путалось,0.0,0.0
бабушка убедилась что внук любит и уважает ее и как мало надо было чтобы убедиться в этом,бабушка убедилась что внук любит и уважает ее и как мало надо было чтобы убедиться в этом,0.0,0.0
у тита никоныча он увидел роскошный дамский туалет обшитый розовой кисеей и кружевами с зеркалом увитым фарфоровой гирляндой из амуров и цветов артистической тонкой работы с севрской фабрики что это,у тита никоныча он увидел роскошный дамский туалет обшитый розовой кисеей и кружевами с зеркалом увитым фарфоровой гирляндой из амуров и цветов артистической тонкой работы с севрской себрики что это,3.3300000000000005,1.01
она начала с того что сейчас опустила сторы сделала полумрак в комнате и полусела или полулегла на кушетке к свету спиной,она начала сторы сделала или полусела полусела полусела полумрак в комнате и полумрак в комнате и полусшая тке к свету спиной,61.9,44.629999999999995
там убийца похоронен а ей ничего,там убийца похоронен а ей ничего,0.0,0.0
стекол нет в окнах сгнили рамы и в обвалившихся покоях ходит ветер срывая последние следы жизни,стекол нет в окнах сгнили рамы и в обвалившихся покоях ходит ветер срывая последние следы жизни,0.0,0.0
райский не прочел на ее лице ни молитвы ни желания,райский не прочел на ее лице ни молитвы ни желания,0.0,0.0
на одной станции я пил чай на другой молоко на третьей попал на крестьянскую свадьбу меня вином потчевали ел мед пряники,на одной станции я пил чай на другой молоко на третьей попал на крестьянскую свадьбу меня вином потчевали ел мед пряники,0.0,0.0
где ей помнить ей и пяти лет не было,где ей помнить ей помнить ей помнить ей помнить ей помнить ей помнить ей помнить ей помнить ей помнить ей помнить ей помни,211.10999999999999,252.78
так слезы льются сами прорвались,так слезы льются сами прорвались,0.0,0.0
вы не только эгоист но вы и деспот брат я лишь открыла рот сказала что люблю чтоб испытать вас а вы посмотрите что с вами сделалось грозно сдвинули брови и приступили к допросу,вы не только эгоист но вы и деспот брат я лишь открыла рот сказала что люблю чтоб испытать вас а вы посмотрите что с вами сделалось грозно сдвинули брови и приступили к допросу,0.0,0.0
перенесу вс# сострадательное великодушие тушина и райского жалость прикрывающую может быть невольное презрение бабушки,перенесу вс# сострадательное великодушие тушина и райского жалость прикрывающую может быть невольное презрение бабушки,0.0,0.0
ваша ласка попечения вс# это должно принадлежать ему,ваша ласка попечения вс# это должно принадлежать ему,0.0,0.0
он вопросительно глядел на нее,он вопросительно поглядел на нее,20.0,6.67
он хотя и был возмущен недоверием веры почти ее враждой к себе взволнован загадочным письмом опять будто ненавидел ее,он хотя и был возмущен недоверием веры почти ее враждой к себе взволнован загадочным письмом опять будто ненавидел ее,0.0,0.0
гнездышко марфиньки ее комнатки наверху потеряли свою веселость,гнездышко марфиньки ее комнатки наверху потеряли свою веселость,0.0,0.0
не была она тоже сентиментальна и если вздыхала возводила глаза к небу разливалась в нежных речах то делала это притворно прибегая к этому как к условным приемам кокетства,не была она тоже сентиментальна и если вздыхала возводила глаза к небу разливалась в нежных речах то делала это притворно прибегая к этому как к условным приемам кокетстватьносло дствотвама,7.140000000000001,10.530000000000001
лапы сложены вместе на лапах покоится спящая морда хребет согнулся в тяжелое ленивое кольцо спит совсем только одно веко вс# дрожит и из за него чуть чуть сквозит черный глаз,лапы сложены вместе на лапах покоится спящая морда хребет согнулся в тяжелое ленивое кольцо спит совсем только одно веко вс# дрожит и из за него чуть чуть сквозит черный з,3.3300000000000005,1.72
он звал ее в рощу слушать соловья,он звал ее в рощу слушать соловья,0.0,0.0
какая хвастунья не стыдно тебе,какая хвастунья не стыдно тебе,0.0,0.0
вы опять за свое сказала она с упреком перебирая рукой в кармане где в самом деле шумела бумага,вы опять за свое сказала она с упреком перебирая рукой в кармане где в самом деле шумела бумага,0.0,0.0
следовательно остается молчать и быть счастливыми помимо убеждений страсть не требует их,следовательно остается молчать и быть счастливыми помимо убеждений страсть не требует их,0.0,0.0
попробую бежать на неделю на две избавиться этой горячки хоть на время вздохнуть,попробую бежать на неделю на две избавиться этой горячки хоть на время вздохнуть,0.0,0.0
а когда ошибется в чем нибудь никогда не сознается гордая бабушка,а когда ошибется в чем нибудь никогда не сознается гордая бабушка,0.0,0.0
куда серебро белье бриллианты посуду девать спросила она помолчав мужикам что ли отдать,куда серебро белье брилианты посуду девать спросила она помулчав молчав мужикам что ли отдать,23.080000000000002,9.2
словом он немного одурел и пришел в себя на третий день и тогда уже стал задумчив как другие,словом он немного одурел и пришел в себя на третий день и тогда уже стал задумчив как другие,0.0,0.0
тут филин было в дупле начал кричать и тот замолчал пойдемте,тут филин было в дупле начал кричать и тот замолчал пойдемте,0.0,0.0
пропусти гостя за мной запри калитку и ступай спать слушаю с медленно сказал он,пропусти гостя за мной запри калитку и ступай спать слушаю с медленно сказал он,0.0,0.0
скажут что мы попрошайки обобрали сироту кто скажет спросил райский все первый нил андреич заголосит какой нил андреич,скажут что мы попрошайки обобрали сироту кто скажет спросил райский все первый нил андреич заголосит какой нил андреич,0.0,0.0
он натянул холст и сделал удачный очерк ее фигуры с намерением уловить на полотно ее позу гнев величавость и поставить в галерею фамильных портретов,он натянул холст и сделал удачный очерк ее фигуры с намерением уловить на полотно ее позу гнев величавость и поставить в галерею фамильных портретов,0.0,0.0
заезжие певцы и певицы давали концерты на них смотрели свысока,заезжие певцы и певцы давали концерты на них смотрели свысока,10.0,1.6099999999999999
а если на меня упадет неприятность какая,а если на меня упадет неприятность какая,0.0,0.0
здравствуйте сказал марк как это вас занесло сюда,здравствуйте сказал марк как это вас занесло сюда,0.0,0.0
он прошел шага два от нее дальше не казните меня едва шептала она я люблю вас,он прошел шага два от нее дальше не казните меня едва шептала она я люблю вас,0.0,0.0
скажи не хочу не надо мы не нищие у нас у самих есть имение не хочу братец не надо,скажи не хочу не надо мы не нищие у нас у самих есть имение не хочу братец не надо,0.0,0.0
он взял ее под руку и они тихо пошли по тропинке луга ты борешься,он взял ее под руку и они тихо пошли по тропинке луга ты борешься,0.0,0.0
думал он оглядываясь вокруг как могила широкая рама для романа,думал он оглядываясь вокруг как могила широкая рама для романа,0.0,0.0
он стоял не зная уйти ли ему внезапно оставив ее тут или покориться своей участи и показать рисунки,он стоял не зная уйти ли ему внезапно оставив ее тут или покориться своей участи и показать рисунки,0.0,0.0
марфинька царапала иглой клочок кружева нашитого на бумажке так пристально что сжала губы и около носа и лба у ней набежали морщинки,марфинька царапала иглой клочок кружева нашитого на бумажке так пристально что сжала губы и около носа и глой клочок кружева носа и гллой клочок кружева носа и глой,50.0,34.849999999999994
ей хотелось забыться уснуть но сон не приходил,ей хотелось забыться уснуть но сон не приходил,0.0,0.0
сказал райский и лег на диван хотел заснуть но звуки не давали как он ни прижимал ухо к подушке чтоб заглушить их нет так и режут право осел,сказал райский и лег на диван хотел заснуть но звуки не давали как он ни прижимал ухо к подушке чтоб заглушить их нет так и режут право осел,0.0,0.0
скажите как мне сесть посадите меня,скажите как мне сесть посадите меня,0.0,0.0
так как же вы понимаете и принимаете людей батюшка,так как же вы понимаете и принимаете людей батшка,11.110000000000001,2.0
думая впоследствии о своем романе он предполагал выработать этот очерк и включить в роман как эпизод,думая впоследствии о своем романе он предполагал выработать этот очерк и включить в роман как эпизод,0.0,0.0
она подошла к ней пристально и ласково поглядела ей в глаза потом долго целовала ей глаза губы щеки,она подошла к ней пристально и ласково поглядела ей в глаза потом долго целовала ей глаза губы щеки,0.0,0.0
но молитва коленопреклонение слезы старухи обращение к умершей матери,но молитва коленопреклонение слезы старухи обращение к умершей матери,0.0,0.0
в эту неделю ни один серьезный учитель ничего от него не добился,в эту неделю ни один серьезный учитель ничего от него не добился,0.0,0.0
вы столичный житель там живете у источника так сказать не то что мы деревенские,вы столичный житель там живете у источника так сказать не то что мы деревенские,0.0,0.0
нехорошо борис павлович ты бы съездил хоть к нилу андреичу уважил бы старика а то он не простит,нехорошо борис павлович ты бы старика а то он не простит,38.89,41.05
нет пойдем к тебе человече я поведаю ти како иаков боролся с богом,нет пойдем к тебе человече я поведаю ти како иаков боролся с богом,0.0,0.0
может быть там меня ждет сама судьба,может быть там меня ждет сама судьба,0.0,0.0
сцена невообразимого ужаса между присутствующими,сцена невообразимого ужаса между присутствующими,0.0,0.0
она ушла очень озабоченная и с другого дня послушно начала исполнять новое обещание со вздохом отворачивая нос от кипящего кофейника который носила по утрам барыне,она ушла очень озабоченная и с другого дня послушно начала исполнять новое обещание со вздохом отворачивая нос от кипящего кофейника который носила по утрам барыне,0.0,0.0
она там может быть хохочет надо мной вместе с ним кто он я хочу знать кто он в ярости сказал он вслух имя имя,она там может быть хохочет надо мной вместе с ним кто он в ярости сказал он вслух имя имя имя имя имя имя имя имя,45.83,35.78
что ж мы сидим скорей вели собирать на стол до обеда долго он позавтракает,что ж мы сидим скорей вели собирать на стол до обеда долго он позавтракает,0.0,0.0
он нарочно станет думать о своих петербургских связях о приятелях о художниках об академии о беловодовой переберет два три случая в памяти два три лица а четвертое лицо выйдет вера,он нарочно станет думать о своих петербургских связях о приятелях о художниках об академи о приятеля о худоверто лицо выйдеми оберет два трилитьсях в памяти два трилях ве вереслих,50.0,32.78
бабушка только было расположилась объяснять ему чем засевается у нее земля и что выгоднее всего возделывать по нынешнему времени как внучек стал зевать,бабушка только было расположилась объяснять ему чем засевается у нее земля и что выгоднее всего воздела вать ему времени как внучек стал зевать,13.04,7.28
он выйдет задумчиво из копоти древнего мрака пока не обвеет его свежий теплый воздух,он выйдет задумчиво из копоти древнего мрака пока не обвеет его свежий теплый воздух,0.0,0.0
он вытянув шею стоял почти не дыша за нею,он вытянув шею стоял почти не дыша за нею,0.0,0.0
большое иван иванович я умру,большое иван иванович я умру,0.0,0.0
райский сидел целый час как убитый над обрывом на траве положив подбородок на колени и закрыв голову руками вс# стонало в нем,райский сидел целый час как убитый над обрывом на траве положив подбородок на колени и закрыв положив подборывом нем,22.73,16.0
скажи николаю васильевичу что мы садимся обедать с холодным достоинством обратилась старуха к человеку да кушать давать,скажи николаю васильевичу что мы садимся обедать с холодным достоинством обратилась старуха к человеку да кушать давать,0.0,0.0
сорок пять лет два человека только знали он да василиса и я думала что мы умрем все с тайной а вот она вышла наружу боже мой,сорок пять лет два человека только знали он да василиса и я думала что мы умрем все стайной он да василиса она вышла наружу бола что мы ужу бойса и я длет дле от,53.849999999999994,34.68
повторил он ты говоришь о романе как о серьезном деле,повторил он ты говоришь о романе как о серьезном деле,0.0,0.0
это только больше опечалило марфиньку,это только больше опечалило марфиньку,0.0,0.0
хотя он поздно лег но встал рано чтобы передать вере о случившемся,хотя он поздно лег но встал рано чтобы передать вере о случившемся,0.0,0.0
нарушил ли присягу в верности царю и отечеству,нарушил ли присягу в верности царю и отечеству,0.0,0.0
очнувшись сказала она где я брала книги тут,очнувшись сказала она где я брала книги тут,0.0,0.0
она обманула ее доверие и не устояла в своей гордости она нищая в родном кругу,она обманула ее доверие и не устояла в своей гордости она нищая в родном кругу,0.0,0.0
